,user,window,mood,arousal,valence,activity,predicted_mood
50,AS14.02,2014-03-27-2014-03-31,7.1,-0.6300000000000001,0.5,0.264235384903786,7.4
51,AS14.02,2014-03-28-2014-04-01,7.13,-0.6700000000000002,0.5599999999999999,0.2708576895571667,6.4
52,AS14.02,2014-03-29-2014-04-02,7.05,-0.67,0.4,0.28236213630146556,5.75
53,AS14.02,2014-03-30-2014-04-03,6.75,-0.5700000000000001,0.35,0.2603694332713842,6.4
54,AS14.02,2014-03-31-2014-04-04,6.63,-0.61,0.24000000000000005,0.2574460428343827,7.4
55,AS14.02,2014-04-01-2014-04-05,6.67,-0.45,0.27999999999999997,0.29055540259763246,4.5
56,AS14.02,2014-04-02-2014-04-06,6.090000000000001,-0.61,-0.13,0.2812052001919921,6.8
57,AS14.02,2014-04-03-2014-04-07,6.17,-0.49000000000000005,0.030000000000000006,0.24468583471128524,6.25
58,AS14.02,2014-04-04-2014-04-08,6.2700000000000005,-0.49000000000000005,0.13,0.23257487425360032,7.25
59,AS14.02,2014-04-05-2014-04-09,6.44,-0.35,0.13999999999999999,0.23656277254078634,7.25
60,AS14.02,2014-04-06-2014-04-10,6.409999999999999,-0.3,0.16999999999999998,0.2243289488133399,6.5
61,AS14.02,2014-04-07-2014-04-11,6.81,-0.2,0.52,0.2661833302428568,6.0
62,AS14.02,2014-04-08-2014-04-12,6.65,-0.6,0.2,0.3145389300260454,7.2
63,AS14.02,2014-04-09-2014-04-13,6.840000000000001,-0.67,0.18,0.3201127461582926,8.0
64,AS14.02,2014-04-10-2014-04-14,6.99,-0.42000000000000004,0.32999999999999996,0.30808558658374013,7.25
65,AS14.02,2014-04-11-2014-04-15,6.99,-0.5700000000000001,0.27999999999999997,0.290661242450819,6.666666666666668
66,AS14.02,2014-04-12-2014-04-16,7.023333333333333,-0.5366666666666667,0.24666666666666667,0.2764202276444023,6.5
67,AS14.02,2014-04-13-2014-04-17,7.123333333333333,-0.08666666666666667,0.44666666666666666,0.29477697499908784,6.5
68,AS14.03,2014-03-22-2014-03-26,7.970000000000001,0.020000000000000018,1.16,0.12125934322493219,7.75
69,AS14.03,2014-03-23-2014-03-27,7.959999999999999,-0.09000000000000004,1.06,0.10362083223566113,8.0
70,AS14.03,2014-03-24-2014-03-28,7.92,-0.15,1.1199999999999999,0.10450735015263209,8.6
71,AS14.03,2014-03-25-2014-03-29,8.08,-0.07,1.1600000000000001,0.11903477322004881,8.4
72,AS14.03,2014-03-26-2014-03-30,8.2,-0.030000000000000006,1.1199999999999999,0.12541125916868617,7.4
73,AS14.03,2014-03-27-2014-03-31,8.03,-0.05,1.0399999999999998,0.12390733585972709,7.6
74,AS14.03,2014-03-28-2014-04-01,8.0,-0.019999999999999973,1.02,0.12275105314924314,7.4
75,AS14.03,2014-03-29-2014-04-02,7.88,0.12000000000000002,0.8400000000000001,0.11755282321081313,7.8
76,AS14.03,2014-03-30-2014-04-03,7.719999999999999,0.16,0.72,0.10160464653907975,7.8
77,AS14.03,2014-03-31-2014-04-04,7.6,0.24,0.8,0.0860958155689959,7.6
78,AS14.03,2014-04-01-2014-04-05,7.640000000000001,0.4,0.8800000000000001,0.09225468617582142,6.8
