Unnamed: 0,mood,arousal,valence,activity,screen,communication,social,travel,gsm,amusement,system
2014-03-17,6.75,0.5,0.5,0.16806841495032573,0.1175899189958969,0.05229300925925928,0.0011924537037037036,0.0,0.12,0.029064560185185183,0.014228553240740736
2014-03-18,8.2,0.6,0.8,0.2194843842554376,0.0522276736271602,0.04552177083333332,0.002457916666666667,0.0,0.6,0.0010294328703703704,0.030144918981481472
2014-03-19,6.8,0.4,0.4,0.31563175685064315,0.09470783565055448,0.030057743055555544,0.0005534143518518518,0.006564409722222219,0.2,0.0022701273148148142,0.017992569444444443
2014-03-20,7.25,-0.5,0.75,0.2390249602103473,0.050466828718781484,0.02493484953703704,0.0015231249999999997,0.0,0.4,0.0017150462962962963,0.020578437500000005
2014-03-21,7.5,-0.75,0.75,0.2896279249001075,0.12911864582311217,0.03308386574074076,0.004490983796296296,0.005119166666666667,0.4,0.005319490740740741,0.02581369212962965
2014-03-22,6.5,-1.0,-0.5,0.44604368683290135,0.08784215281131093,0.021438148148148154,0.004729942129629629,0.00903491898148148,1.0,0.007672581018518522,0.02234104166666666
2014-03-23,6.25,-1.0,0.0,0.2696971570335323,0.05241350695214891,0.021295127314814807,0.001990671296296297,0.014620243055555556,0.32,0.004491875,0.010353078703703706
2014-03-24,6.4,0.2,-0.2,0.15612466250149995,0.03202140045662719,0.03486320601851852,0.0026944560185185183,0.0,0.16,0.006157557870370368,0.012424722222222226
2014-03-25,7.75,-1.25,0.75,0.2305136548564537,0.05367347222235469,0.03227721064814815,0.0017181365740740742,0.0,0.24,0.00531931712962963,0.03248762731481482
2014-03-26,7.2,-1.2,0.4,0.2939534624058421,0.07025034723182517,0.02932695601851852,0.018078969907407406,0.0,0.16,0.008878993055555553,0.02010120370370371
2014-03-27,7.25,0.0,0.5,0.22884900892215096,0.06651598378188081,0.034687997685185205,0.0009417361111111111,0.0,0.08,0.005680335648148149,0.02701721064814814
2014-03-28,6.8,-0.6,0.6,0.2615983280781396,0.045944224527036726,0.014411192129629635,0.0314492476851852,0.0,0.36,0.008190277777777779,0.012188831018518519
2014-03-29,7.25,-0.75,0.25,0.4324693550603951,0.05096346062090663,0.024785752314814814,0.006063125000000001,0.005806064814814815,0.12,0.012306342592592593,0.20157731481481475
2014-03-30,7.0,-1.0,0.75,0.24188730879396786,0.045567615727583555,0.012857129629629632,0.003737280092592593,0.0,0.4,0.014798541666666666,0.008944293981481484
2014-03-31,7.2,-0.8,0.4,0.15637292366427655,0.055256319435106394,0.028719004629629633,0.023595266203703703,0.0,0.6,0.004108391203703705,0.013730312499999994
2014-04-01,7.4,-0.2,0.8,0.2619605321890545,0.03816826385480386,0.01530798611111111,0.002212048611111111,0.003995370370370372,0.08,0.0008909259259259259,0.03229182870370371
2014-04-02,6.4,-0.6,-0.2,0.31912056179963355,0.07967393520529623,0.03405582175925926,0.0036794097222222224,0.0,0.04,0.011822384259259258,0.02273391203703704
2014-04-03,5.75,-0.25,0.0,0.3225058399099885,0.07886921297344895,0.04161378472222222,0.001416909722222222,0.0036839583333333347,0.04,0.006351701388888887,0.014690960648148161
2014-04-04,6.4,-1.2,0.2,0.22727035660896044,0.04228437500971335,0.03251662037037037,0.0016356481481481487,0.0,0.16,0.009371851851851848,0.012982511574074077
2014-04-05,7.4,0.0,0.6,0.3219197224805253,0.15124914353644403,0.026732164351851852,0.0029931828703703704,0.0044915625,0.36,0.009195416666666664,0.02265146990740739
2014-04-06,4.5,-1.0,-1.25,0.21520952016085249,0.042244999982692585,0.014170393518518518,0.004531736111111113,0.0,0.2,0.007164120370370374,0.006671122685185184
2014-04-07,6.8,0.0,0.6,0.13652373439609958,0.0736866550727023,0.043532164351851865,0.02324287037037037,0.0,0.04,0.008540694444444445,0.01716375
2014-04-08,6.25,-0.25,0.5,0.261951037621564,0.04721240740131451,0.02622517361111111,0.00736403935185185,0.0,0.4,0.0022393518518518517,0.013712708333333325
2014-04-09,7.25,-0.5,0.25,0.24720984804489024,0.06663687500688764,0.0261058449074074,0.003406493055555556,0.0,0.48,0.007259675925925925,0.016516458333333327
2014-04-10,7.25,0.25,0.75,0.2607506038432932,0.09078980322513315,0.03155366898148148,0.006560266203703704,0.00607769675925926,0.04,0.00804773148148148,0.01510991898148148
2014-04-11,6.5,-0.5,0.5,0.4244814273084368,0.06724571760605882,0.027127233796296286,0.003699594907407406,0.0073024189814814835,0.28,0.008110231481481479,0.01791888888888888
2014-04-12,6.0,-2.0,-1.0,0.3783017333120428,0.04234744214349323,0.017555173611111117,0.0018193518518518513,0.004191956018518519,0.24,0.0,0.021222847222222216
2014-04-13,7.2,-0.6,0.4,0.28982011828279997,0.025172118028556865,0.009898368055555553,0.00142443287037037,0.0018477546296296302,0.0,0.0043,0.005913344907407405
2014-04-14,8.0,0.75,1.0,0.18707405017212794,0.03209540510343181,0.021093483796296296,0.0006576041666666667,0.0,0.56,0.0011084722222222223,0.010352546296296292
2014-04-15,7.25,-0.5,0.5,0.1736288831786874,0.00811674769001979,0.005161076388888889,0.0002938194444444444,0.0,0.56,0.00022752314814814816,0.0011373379629629633
2014-04-16,6.666666666666668,-0.3333333333333333,0.3333333333333333,0.3532763532763534,0.0012648611074244534,0.0,0.0,0.0,0.64,0.0,0.001448298611111111
2014-04-17,6.5,0.25,0.0,0.4700854700854705,0.00047725694047080113,0.00043519675925925925,0.0,0.0,0.64,0.0,2.3229166666666664e-05
